,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_text,aware_text,teks_id,teks_display_path
0,1790,English,Reading/Fluency,110.19.b.1,7,Reading/Fluency. Students read grade-level text with fluency and comprehension. Students are expected to adjust fluency when reading aloud grade-level text based on the reading purpose and the nature of the text.,adjust fluency when reading aloud grade-level text based on the reading purpose and the nature of the text.,158108,110.19.1.A
1,1811,English,Reading/Comprehension of Informational Text/Expository Text,110.19.b.10,7,"Reading/Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about expository text and provide evidence from text to support their understanding. Students are expected to:","Reading/Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about expository text and provide evidence from text to support their understanding.",175619,110.19.10
2,1812,English,Reading/Comprehension of Informational Text/Expository Text,110.19.b.10.A,7,"evaluate a summary of the original text for accuracy of the main ideas, supporting details, and overall meaning;","evaluate a summary of the original text for accuracy of the main ideas, supporting details, and overall meaning.",158125,110.19.10.A
3,1813,English,Reading/Comprehension of Informational Text/Expository Text,110.19.b.10.B,7,distinguish factual claims from commonplace assertions and opinions;,distinguish factual claims from commonplace assertions and opinions.,158126,110.19.10.B
4,1814,English,Reading/Comprehension of Informational Text/Expository Text,110.19.b.10.C,7,use different organizational patterns as guides for summarizing and forming an overview of different kinds of expository text; and,use different organizational patterns as guides for summarizing and forming an overview of different kinds of expository text.,158127,110.19.10.C
5,1815,English,Reading/Comprehension of Informational Text/Expository Text,110.19.b.10.D,7,"synthesize and make logical connections between ideas within a text and across two or three texts representing similar or different genres, and support those findings with textual evidence.","synthesize and make logical connections between ideas within a text and across two or three texts representing similar or different genres, and support those findings with textual evidence.",158128,110.19.10.D
6,1816,English,Reading/Comprehension of Informational Text/Persuasive Text,110.19.b.11,7,"Reading/Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis. Students are expected to:","Reading/Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis.",175620,110.19.11
7,1817,English,Reading/Comprehension of Informational Text/Persuasive Text,110.19.b.11.A,7,"analyze the structure of the central argument in contemporary policy speeches (e.g., argument by cause and effect, analogy, authority) and identify the different types of evidence used to support the argument; and","analyze the structure of the central argument in contemporary policy speeches (e.g., argument by cause and effect, analogy, authority) and identify the different types of evidence used to support the argument.",158129,110.19.11.A
8,1818,English,Reading/Comprehension of Informational Text/Persuasive Text,110.19.b.11.B,7,"identify such rhetorical fallacies as ad hominem, exaggeration, stereotyping, or categorical claims in persuasive texts.","identify such rhetorical fallacies as ad hominem, exaggeration, stereotyping, or categorical claims in persuasive texts.",158130,110.19.11.B
9,1819,English,Reading/Comprehension of Informational Text/Procedural Texts,110.19.b.12,7,Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents. Students are expected to:,Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents.,175621,110.19.12
10,1820,English,Reading/Comprehension of Informational Text/Procedural Texts,110.19.b.12.A,7,"follow multi-dimensional instructions from text to complete a task, solve a problem, or perform procedures; and","follow multi-dimensional instructions from text to complete a task, solve a problem, or perform procedures.",158131,110.19.12.A
11,1821,English,Reading/Comprehension of Informational Text/Procedural Texts,110.19.b.12.B,7,explain the function of the graphical components of a text.,explain the function of the graphical components of a text.,158132,110.19.12.B
12,1822,English,Reading/Media Literacy,110.19.b.13,7,"Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts. Students are expected to:","Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts.",175622,110.19.13
13,1823,English,Reading/Media Literacy,110.19.b.13.A,7,interpret both explicit and implicit messages in various forms of media;,interpret both explicit and implicit messages in various forms of media;,158133,110.19.13.A
14,1824,English,Reading/Media Literacy,110.19.b.13.B,7,"interpret how visual and sound techniques (e.g., special effects, camera angles, lighting, music) influence the message;","interpret how visual and sound techniques (e.g., special effects, camera angles, lighting, music) influence the message;",158134,110.19.13.B
15,1825,English,Reading/Media Literacy,110.19.b.13.C,7,evaluate various ways media influences and informs audiences; and,evaluate various ways media influences and informs audiences; and,158135,110.19.13.C
16,1777,English,Reading/Media Literacy,110.19.b.13.D,7,assess the correct level of formality and tone for successful participation in various digital media.,assess the correct level of formality and tone for successful participation in various digital media.,158136,110.19.13.D
17,1826,English,Writing/Writing Process,110.19.b.14,7,"Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text. Students are expected to:","Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text.",175623,110.19.14
18,1827,English,Writing/Writing Process,110.19.b.14.A,7,"plan a first draft by selecting a genre appropriate for conveying the intended meaning to an audience, determining appropriate topics through a range of strategies (e.g., discussion, background reading, personal interests, interviews), and developing a thesis or controlling idea;","plan a first draft by selecting a genre appropriate for conveying the intended meaning to an audience, determining appropriate topics through a range of strategies (e.g., discussion, background reading, personal interests, interviews), and developing a thesis or controlling idea.",158137,110.19.14.A
19,1828,English,Writing/Writing Process,110.19.b.14.B,7,"develop drafts by choosing an appropriate organizational strategy (e.g., sequence of events, cause-effect, compare-contrast) and building on ideas to create a focused, organized, and coherent piece of writing;","develop drafts by choosing an appropriate organizational strategy (e.g., sequence of events, cause-effect, compare-contrast) and building on ideas to create a focused, organized, and coherent piece of writing.",158138,110.19.14.B
