,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_text,aware_text,teks_id,teks_display_path
0,2383,English,Reading/Vocabulary Development,110.31.b.1,"9, 10, 11, 12",Reading/Vocabulary Development. Students understand new vocabulary and use it when reading and writing. Students are expected to:,Reading/Vocabulary Development. Students understand new vocabulary and use it when reading and writing.,175674,110.31.1
1,2384,English,Reading/Vocabulary Development,110.31.b.1.A,"9, 10, 11, 12","determine the meaning of grade-level technical academic English words in multiple content areas (e.g., science, mathematics, social studies, the arts) derived from Latin, Greek, or other linguistic roots and affixes;","determine the meaning of grade-level technical academic English words in multiple content areas (e.g., science, mathematics, social studies, the arts) derived from Latin, Greek, or other linguistic roots and affixes.",158360,110.31.1.A
2,2385,English,Reading/Vocabulary Development,110.31.b.1.B,"9, 10, 11, 12",analyze textual context (within a sentence and in larger sections of text) to distinguish between the denotative and connotative meanings of words;,analyze textual context (within a sentence and in larger sections of text) to distinguish between the denotative and connotative meanings of words.,158361,110.31.1.B
3,2386,English,Reading/Vocabulary Development,110.31.b.1.C,"9, 10, 11, 12",produce analogies that describe a function of an object or its description;,produce analogies that describe a function of an object or its description.,158362,110.31.1.C
4,2387,English,Reading/Vocabulary Development,110.31.b.1.D,"9, 10, 11, 12","describe the origins and meanings of foreign words or phrases used frequently in written English (e.g., caveat emptor, carte blanche, tete a tete, pas de deux, bon appetit, quid pro quo); and","describe the origins and meanings of foreign words or phrases used frequently in written English (e.g., caveat emptor, carte blanche, tete a tete, pas de deux, bon appetit, quid pro quo).",158363,110.31.1.D
5,2391,English,Reading/Vocabulary Development,110.31.b.1.E,"9, 10, 11, 12","use a dictionary, a glossary, or a thesaurus (printed or electronic) to determine or confirm the meanings of words and phrases, including their connotations and denotations, and their etymology.","use a dictionary, a glossary, or a thesaurus (printed or electronic) to determine or confirm the meanings of words and phrases, including their connotations and denotations, and their etymology.",158364,110.31.1.E
6,2412,English,Reading/Comprehension of Informational Text/Persuasive Text,110.31.b.10,"9, 10, 11, 12","Reading/Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis. Students are expected to:","Reading/Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis.",175675,110.31.10
7,2413,English,Reading/Comprehension of Informational Text/Persuasive Text,110.31.b.10.A,"9, 10, 11, 12","analyze the relevance, quality, and credibility of evidence given to support or oppose an argument for a specific audience; and","analyze the relevance, quality, and credibility of evidence given to support or oppose an argument for a specific audience.",158380,110.31.10.A
8,2414,English,Reading/Comprehension of Informational Text/Persuasive Text,110.31.b.10.B,"9, 10, 11, 12",analyze famous speeches for the rhetorical structures and devices used to convince the reader of the authors' propositions.,analyze famous speeches for the rhetorical structures and devices used to convince the reader of the authors' propositions.,158381,110.31.10.B
9,2415,English,Reading/Comprehension of Informational Text/Procedural Texts,110.31.b.11,"9, 10, 11, 12",Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents. Students are expected to:,Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents.,175676,110.31.11
10,2419,English,Reading/Comprehension of Informational Text/Procedural Texts,110.31.b.11.A,"9, 10, 11, 12","analyze the clarity of the objective(s) of procedural text (e.g., consider reading instructions for software, warranties, consumer publications); and","analyze the clarity of the objective(s) of procedural text (e.g., consider reading instructions for software, warranties, consumer publications).",158382,110.31.11.A
