,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_id,teks_display_path
0,2770,English,Reading/Vocabulary Development,110.34.b.1,"9, 10, 11, 12",175752,110.34.1
1,2792,English,Reading/Vocabulary Development,110.34.b.1.A,"9, 10, 11, 12",158605,110.34.1.A
2,2771,English,Reading/Vocabulary Development,110.34.b.1.B,"9, 10, 11, 12",158606,110.34.1.B
3,2793,English,Reading/Vocabulary Development,110.34.b.1.C,"9, 10, 11, 12",158607,110.34.1.C
4,2772,English,Reading/Vocabulary Development,110.34.b.1.D,"9, 10, 11, 12",158608,110.34.1.D
5,2794,English,Reading/Vocabulary Development,110.34.b.1.E,"9, 10, 11, 12",158609,110.34.1.E
6,2657,English,Reading/Comprehension of Informational Text/Persuasive Text,110.34.b.10,"9, 10, 11, 12",175753,110.34.10
7,2658,English,Reading/Comprehension of Informational Text/Persuasive Text,110.34.b.10.A,"9, 10, 11, 12",158626,110.34.10.A
8,2659,English,Reading/Comprehension of Informational Text/Persuasive Text,110.34.b.10.B,"9, 10, 11, 12",158627,110.34.10.B
9,2660,English,Reading/Comprehension of Informational Text/Procedural Texts,110.34.b.11,"9, 10, 11, 12",175754,110.34.11
10,2661,English,Reading/Comprehension of Informational Text/Procedural Texts,110.34.b.11.A,"9, 10, 11, 12",158628,110.34.11.A
11,2662,English,Reading/Comprehension of Informational Text/Procedural Texts,110.34.b.11.B,"9, 10, 11, 12",158629,110.34.11.B
12,2669,English,Reading/Media Literacy,110.34.b.12,"9, 10, 11, 12",175755,110.34.12
13,525,English,Reading/Media Literacy,110.34.b.12.A,"9, 10, 11, 12",158630,110.34.12.A
14,2670,English,Reading/Media Literacy,110.34.b.12.B,"9, 10, 11, 12",158631,110.34.12.B
15,622,English,Reading/Media Literacy,110.34.b.12.C,"9, 10, 11, 12",158632,110.34.12.C
16,623,English,Reading/Media Literacy,110.34.b.12.D,"9, 10, 11, 12",158633,110.34.12.D
17,2671,English,Writing/Writing Process,110.34.b.13,"9, 10, 11, 12",175756,110.34.13
18,2672,English,Writing/Writing Process,110.34.b.13.A,"9, 10, 11, 12",158634,110.34.13.A
19,2673,English,Writing/Writing Process,110.34.b.13.B,"9, 10, 11, 12",158635,110.34.13.B
20,2674,English,Writing/Writing Process,110.34.b.13.C,"9, 10, 11, 12",158636,110.34.13.C
21,624,English,Writing/Writing Process,110.34.b.13.D,"9, 10, 11, 12",158637,110.34.13.D
22,2799,English,Writing/Writing Process,110.34.b.13.E,"9, 10, 11, 12",158638,110.34.13.E
23,2675,English,Writing/Literary Texts,110.34.b.14,"9, 10, 11, 12",175757,110.34.14
24,2676,English,Writing/Literary Texts,110.34.b.14.A,"9, 10, 11, 12",158639,110.34.14.A
25,2677,English,Writing/Literary Texts,110.34.b.14.B,"9, 10, 11, 12",158640,110.34.14.B
26,2800,English,Writing/Literary Texts,110.34.b.14.C,"9, 10, 11, 12",158641,110.34.14.C
27,2678,English,Writing/Expository and Procedural Texts,110.34.b.15,"9, 10, 11, 12",175758,110.34.15
28,2801,English,Writing/Expository and Procedural Texts,110.34.b.15.A,"9, 10, 11, 12",175849,110.34.15.A
29,2802,English,Writing/Expository and Procedural Texts,110.34.b.15.A.i,"9, 10, 11, 12",158642,110.34.15.Ai
30,591,English,Writing/Expository and Procedural Texts,110.34.b.15.A.ii,"9, 10, 11, 12",158643,110.34.15.Aii
31,592,English,Writing/Expository and Procedural Texts,110.34.b.15.A.iii,"9, 10, 11, 12",158644,110.34.15.Aiii
32,593,English,Writing/Expository and Procedural Texts,110.34.b.15.A.iv,"9, 10, 11, 12",158645,110.34.15.Aiv
33,594,English,Writing/Expository and Procedural Texts,110.34.b.15.A.v,"9, 10, 11, 12",158646,110.34.15.Av
34,2684,English,Writing/Expository and Procedural Texts,110.34.b.15.A.vi,"9, 10, 11, 12",158647,110.34.15.Avi
35,595,English,Writing/Expository and Procedural Texts,110.34.b.15.A.vii,"9, 10, 11, 12",158648,110.34.15.Avii
36,2685,English,Writing/Expository and Procedural Texts,110.34.b.15.B,"9, 10, 11, 12",175850,110.34.15.B
37,609,English,Writing/Expository and Procedural Texts,110.34.b.15.B.i,"9, 10, 11, 12",158649,110.34.15.Bi
38,610,English,Writing/Expository and Procedural Texts,110.34.b.15.B.ii,"9, 10, 11, 12",158650,110.34.15.Bii
39,637,English,Writing/Expository and Procedural Texts,110.34.b.15.B.iii,"9, 10, 11, 12",158651,110.34.15.Biii
40,638,English,Writing/Expository and Procedural Texts,110.34.b.15.B.iv,"9, 10, 11, 12",158652,110.34.15.Biv
41,639,English,Writing/Expository and Procedural Texts,110.34.b.15.B.v,"9, 10, 11, 12",158653,110.34.15.Bv
42,2786,English,Writing/Expository and Procedural Texts,110.34.b.15.C,"9, 10, 11, 12",175851,110.34.15.C
